,Company,date,Quarter,Year,percent change (between t-2 and t+2),Sentiment
0,Apple,2022-10-27,Q4,2022,0.6564217504981329,Neutral
1,Apple,2022-07-28,Q3,2022,6.536931432416511,Positive
2,Apple,2022-04-28,Q2,2022,0.7397920206784768,Neutral
3,Apple,2022-01-27,Q1,2022,9.387902317950767,Positive
4,Apple,2021-10-28,Q4,2021,-0.24109667438310523,Neutral
5,Apple,2021-07-27,Q3,2021,-1.9655419870645163,Neutral
6,Apple,2021-04-28,Q2,2021,-2.4198386736067063,Neutral
7,Apple,2021-01-27,Q1,2021,-7.668631450383791,Negative
8,Apple,2020-10-29,Q4,2020,-6.715276902565055,Negative
9,Apple,2020-07-30,Q3,2020,16.819942131909766,Positive
10,Apple,2020-04-30,Q2,2020,5.233708060201124,Positive
11,Apple,2020-01-28,Q1,2020,1.7467494205800531,Neutral
12,Apple,2019-10-30,Q4,2019,2.718329613641296,Neutral
13,Apple,2019-07-30,Q3,2019,0.3321378634824308,Neutral
14,Apple,2019-04-30,Q2,2019,2.373964087067464,Neutral
15,Apple,2019-01-29,Q1,2019,5.502053280162535,Positive
16,Apple,2018-11-01,Q4,2018,-5.489919981340433,Negative
17,Apple,2018-07-31,Q3,2018,8.592548244946057,Positive
18,Apple,2018-05-01,Q2,2018,8.976121732152835,Positive
19,Apple,2018-02-01,Q1,2018,-6.276573691602029,Negative
20,Apple,2017-11-02,Q4,2017,3.082133738140244,Positive
21,Apple,2017-08-01,Q3,2017,4.0601686060230895,Positive
22,Apple,2017-05-02,Q2,2017,2.0049111026677675,Neutral
23,Apple,2017-01-31,Q1,2017,5.395676551809107,Positive
24,Apple,2016-10-25,Q4,2016,-1.8181965123257673,Neutral
25,Apple,2016-07-26,Q3,2016,5.7571581815196895,Positive
26,Apple,2016-04-26,Q2,2016,-10.266853273837395,Negative
27,Apple,2016-01-26,Q1,2016,-7.227401940624308,Negative
