,Company,date,Quarter,Year,percent change (between t-2 and t+2),Sentiment
0,AMD,2022-11-01,Q4,2022,-3.064018323835141,Negative
1,AMD,2022-08-02,Q3,2022,9.992592695486778,Positive
2,AMD,2022-05-03,Q2,2022,9.763805462207777,Positive
3,AMD,2022-02-01,Q1,2022,14.101106298477086,Positive
4,AMD,2021-10-26,Q4,2021,1.1183474968269755,Neutral
5,AMD,2021-07-27,Q3,2021,11.720016542083583,Positive
6,AMD,2021-04-27,Q2,2021,1.3895619818688494,Neutral
7,AMD,2021-01-26,Q1,2021,-5.679495872899666,Negative
8,AMD,2020-10-27,Q4,2020,-4.807226068103611,Negative
9,AMD,2020-07-28,Q3,2020,12.680108398962798,Positive
10,AMD,2020-04-28,Q2,2020,-6.746174608294148,Negative
11,AMD,2020-01-28,Q1,2020,-3.118172278855515,Negative
12,AMD,2019-10-29,Q4,2019,3.7297500912565176,Positive
13,AMD,2019-07-30,Q3,2019,-12.228100503928006,Negative
14,AMD,2019-04-30,Q2,2019,1.470594573538246,Neutral
15,AMD,2019-01-29,Q1,2019,11.308707285567225,Positive
16,AMD,2018-10-24,Q4,2018,-29.56452785807193,Negative
17,AMD,2018-07-25,Q3,2018,13.685478436541961,Positive
18,AMD,2018-04-25,Q2,2018,10.657367518821532,Positive
19,AMD,2018-01-30,Q1,2018,2.316603823578644,Neutral
20,AMD,2017-10-24,Q4,2017,-13.034034294293113,Negative
21,AMD,2017-07-25,Q3,2017,1.729104964980983,Neutral
22,AMD,2017-05-01,Q2,2017,-23.71512165474399,Negative
23,AMD,2017-01-31,Q1,2017,15.089031351126792,Positive
24,AMD,2016-10-20,Q4,2016,4.160478588630034,Positive
25,AMD,2016-07-21,Q3,2016,23.844731945234766,Positive
26,AMD,2016-04-21,Q2,2016,31.679396884688032,Positive
27,AMD,2016-01-19,Q1,2016,-5.429869769517204,Negative
