,Company,date,Quarter,Year,percent change (between t-2 and t+2),Sentiment
0,ASML,2022-10-18,Q4,2022,15.335102422615666,Positive
1,ASML,2022-07-19,Q3,2022,14.010897066204258,Positive
2,ASML,2022-04-19,Q2,2022,3.698140801601785,Positive
3,ASML,2022-01-18,Q1,2022,-3.235263833868931,Negative
4,ASML,2021-10-19,Q4,2021,-0.23309737798426358,Neutral
5,ASML,2021-07-20,Q3,2021,6.182538999156519,Positive
6,ASML,2021-04-20,Q2,2021,0.2168406763996592,Neutral
7,ASML,2021-01-19,Q1,2021,4.790216733813442,Positive
8,ASML,2020-10-13,Q4,2020,-0.6221225398763696,Neutral
9,ASML,2020-07-14,Q3,2020,-2.6853585250627394,Neutral
10,ASML,2020-04-14,Q2,2020,5.632017817886652,Positive
11,ASML,2020-01-21,Q1,2020,-2.2452403759975113,Neutral
12,ASML,2019-10-15,Q4,2019,-2.3999935071141314,Neutral
13,ASML,2019-07-17,Q3,2019,8.15438598094681,Positive
14,ASML,2019-04-16,Q2,2019,1.5235175928502156,Neutral
15,ASML,2019-01-22,Q1,2019,7.210880776354598,Positive
16,ASML,2018-10-16,Q4,2018,1.2393844068994007,Neutral
17,ASML,2018-07-19,Q3,2018,8.045426126057219,Positive
18,ASML,2018-04-17,Q2,2018,-5.1300763038033725,Negative
19,ASML,2018-01-16,Q1,2018,13.895269080237917,Positive
20,ASML,2017-10-17,Q4,2017,-0.15881676948274692,Neutral
21,ASML,2017-07-18,Q3,2017,9.934279594141946,Positive
22,ASML,2017-04-18,Q2,2017,1.30082331886239,Neutral
23,ASML,2017-01-17,Q1,2017,6.177574149524104,Positive
24,ASML,2016-10-18,Q4,2016,2.4327637516732157,Neutral
25,ASML,2016-07-20,Q3,2016,2.4241170285212044,Neutral
26,ASML,2016-04-19,Q2,2016,-3.7468718180901686,Negative
27,ASML,2016-01-19,Q1,2016,5.3799981454226415,Positive
