,Company,date,Quarter,Year,percent change (between t-2 and t+2),Sentiment
0,Cisco,2022-11-16,Q4,2022,6.817163886090109,Positive
1,Cisco,2022-08-17,Q3,2022,4.528865980744554,Positive
2,Cisco,2022-05-18,Q2,2022,-12.367344537684545,Negative
3,Cisco,2022-02-16,Q1,2022,7.57802915520513,Positive
4,Cisco,2021-11-17,Q4,2021,-7.019384531190414,Negative
5,Cisco,2021-08-18,Q3,2021,3.4470541535758925,Positive
6,Cisco,2021-05-19,Q2,2021,-0.9633440005726028,Neutral
7,Cisco,2021-02-08,Q1,2021,-0.021170139051254692,Neutral
8,Cisco,2020-11-12,Q4,2020,9.865687071460219,Positive
9,Cisco,2020-08-12,Q3,2020,-10.957464690775566,Negative
10,Cisco,2020-05-13,Q2,2020,2.192986293158142,Neutral
11,Cisco,2020-02-12,Q1,2020,-3.8878561167166903,Negative
12,Cisco,2019-11-13,Q4,2019,-6.25778194876152,Negative
13,Cisco,2019-08-14,Q3,2019,-8.886298374076617,Negative
14,Cisco,2019-05-15,Q2,2019,9.844075989596732,Positive
15,Cisco,2019-02-13,Q1,2019,3.8881820555850357,Positive
16,Cisco,2018-11-14,Q4,2018,1.600161718521775,Neutral
17,Cisco,2018-08-15,Q3,2018,4.8456871713030045,Positive
18,Cisco,2018-05-16,Q2,2018,-5.4485762827073225,Negative
19,Cisco,2018-02-14,Q1,2018,9.187191311105455,Positive
20,Cisco,2017-11-15,Q4,2017,5.743748448411978,Positive
21,Cisco,2017-08-16,Q3,2017,-4.616827136608025,Negative
22,Cisco,2017-05-17,Q2,2017,-8.822674312120672,Negative
23,Cisco,2017-02-15,Q1,2017,5.536443222256231,Positive
24,Cisco,2016-11-16,Q4,2016,-3.793452917650124,Negative
25,Cisco,2016-08-17,Q3,2016,-2.148136348019606,Neutral
26,Cisco,2016-05-18,Q2,2016,3.707828526294824,Positive
27,Cisco,2016-02-10,Q1,2016,9.507203156429158,Positive
