,Company,date,Quarter,Year,percent change (between t-2 and t+2),Sentiment
0,Alphabet,2022-10-25,Q4,2022,-8.810438321665934,Negative
1,Alphabet,2022-07-26,Q3,2022,5.857274889202314,Positive
2,Alphabet,2022-04-26,Q2,2022,-0.9303250127033816,Neutral
3,Alphabet,2022-02-01,Q1,2022,7.303281238718335,Positive
4,Alphabet,2021-10-26,Q4,2021,6.020725505842234,Positive
5,Alphabet,2021-07-27,Q3,2021,2.076831155071352,Neutral
6,Alphabet,2021-04-27,Q2,2021,4.036211934050036,Positive
7,Alphabet,2021-02-02,Q1,2021,12.382352189660036,Positive
8,Alphabet,2020-10-29,Q4,2020,1.5911177448508458,Neutral
9,Alphabet,2020-07-30,Q3,2020,-1.389289023566413,Neutral
10,Alphabet,2020-04-28,Q2,2020,5.491143902353315,Positive
11,Alphabet,2020-02-03,Q1,2020,-0.563869559574225,Neutral
12,Alphabet,2019-10-28,Q4,2019,0.12627695602489838,Neutral
13,Alphabet,2019-07-25,Q3,2019,8.169502876880825,Positive
14,Alphabet,2019-04-29,Q2,2019,-7.418688229846721,Negative
15,Alphabet,2019-02-04,Q1,2019,-0.26645181203969703,Neutral
16,Alphabet,2018-10-25,Q4,2018,-7.191610026668769,Negative
17,Alphabet,2018-07-23,Q3,2018,6.408137664279164,Positive
18,Alphabet,2018-04-23,Q2,2018,-6.100322284057741,Negative
19,Alphabet,2018-02-01,Q1,2018,-9.765834993517377,Negative
20,Alphabet,2017-10-26,Q4,2017,4.51598353114646,Positive
21,Alphabet,2017-07-24,Q3,2017,-2.709162047678736,Neutral
22,Alphabet,2017-04-27,Q2,2017,4.948016360915225,Positive
23,Alphabet,2017-01-26,Q1,2017,-3.025201707055975,Negative
24,Alphabet,2016-10-27,Q4,2016,-2.250926821075305,Neutral
25,Alphabet,2016-07-28,Q3,2016,5.71372324324542,Positive
26,Alphabet,2016-04-21,Q2,2016,-4.3851843202747585,Negative
27,Alphabet,2016-02-01,Q1,2016,0.14432942181160544,Neutral
