,Company,date,Quarter,Year,percent change (between t-2 and t+2),Sentiment
0,Intel,2022-10-27,Q4,2022,3.721267214176455,Positive
1,Intel,2022-07-28,Q3,2022,-5.1334691349931445,Negative
2,Intel,2022-04-28,Q2,2022,-1.230227635174625,Neutral
3,Intel,2022-01-26,Q1,2022,-8.105504461408263,Negative
4,Intel,2021-10-21,Q4,2021,-10.50532304470562,Negative
5,Intel,2021-07-22,Q3,2021,-1.6835757243059069,Neutral
6,Intel,2021-04-22,Q2,2021,-6.283891958557538,Negative
7,Intel,2021-01-21,Q1,2021,-4.397314371220931,Negative
8,Intel,2020-10-22,Q4,2020,-12.558489325964095,Negative
9,Intel,2020-07-23,Q3,2020,-18.33608413615784,Negative
10,Intel,2020-04-23,Q2,2020,5.518098868033387,Positive
11,Intel,2020-01-23,Q1,2020,8.488860514174617,Positive
12,Intel,2019-10-24,Q4,2019,9.132845649490829,Positive
13,Intel,2019-07-25,Q3,2019,1.4685832300216999,Neutral
14,Intel,2019-04-25,Q2,2019,-13.048651192856093,Negative
15,Intel,2019-01-24,Q1,2019,-3.2318339173879687,Negative
16,Intel,2018-10-25,Q4,2018,2.0225102671959765,Neutral
17,Intel,2018-07-26,Q3,2018,-8.604836440512601,Negative
18,Intel,2018-04-26,Q2,2018,0.33041067356745063,Neutral
19,Intel,2018-01-25,Q1,2018,8.510608949112813,Positive
20,Intel,2017-10-26,Q4,2017,8.35164842261686,Positive
21,Intel,2017-07-27,Q3,2017,2.3074614561708042,Neutral
22,Intel,2017-04-27,Q2,2017,-1.5188294924104029,Neutral
23,Intel,2017-01-26,Q1,2017,-0.5316638549722617,Neutral
24,Intel,2016-10-18,Q4,2016,-5.393877951555593,Negative
25,Intel,2016-07-20,Q3,2016,-1.1126885767265913,Neutral
26,Intel,2016-04-19,Q2,2016,1.6211139165470754,Neutral
27,Intel,2016-01-14,Q1,2016,-8.81274840365093,Negative
