,Company,date,Quarter,Year,percent change (between t-2 and t+2),Sentiment
0,Microsoft,2022-10-25,Q4,2022,-6.348088325185692,Negative
1,Microsoft,2022-07-26,Q3,2022,6.164547180746053,Positive
2,Microsoft,2022-04-26,Q2,2022,5.692800220047153,Positive
3,Microsoft,2022-01-25,Q1,2022,1.2870200625123436,Neutral
4,Microsoft,2021-10-26,Q4,2021,4.913326589594798,Positive
5,Microsoft,2021-07-27,Q3,2021,-1.0943692838823467,Neutral
6,Microsoft,2021-04-27,Q2,2021,-3.308439382717998,Negative
7,Microsoft,2021-01-26,Q1,2021,5.744627295588821,Positive
8,Microsoft,2020-10-27,Q4,2020,-5.3230392100381385,Negative
9,Microsoft,2020-07-22,Q3,2020,-4.867670974630378,Negative
10,Microsoft,2020-04-29,Q2,2020,0.2987626812936664,Neutral
11,Microsoft,2020-01-29,Q1,2020,4.8989403383466135,Positive
12,Microsoft,2019-10-23,Q4,2019,1.6614688289580521,Neutral
13,Microsoft,2019-07-18,Q3,2019,0.9848111879438408,Neutral
14,Microsoft,2019-04-24,Q2,2019,4.953143549587565,Positive
15,Microsoft,2019-01-30,Q1,2019,-2.1888070713847934,Neutral
16,Microsoft,2018-10-24,Q4,2018,-2.4354671746915924,Neutral
17,Microsoft,2018-07-19,Q3,2018,1.9065556596944782,Neutral
18,Microsoft,2018-04-26,Q2,2018,0.4295540829416501,Neutral
19,Microsoft,2018-01-31,Q1,2018,-2.2785310438155624,Neutral
20,Microsoft,2017-10-26,Q4,2017,6.3784054131017065,Positive
21,Microsoft,2017-07-20,Q3,2017,0.40927202312087085,Neutral
22,Microsoft,2017-04-27,Q2,2017,2.193768301200149,Neutral
23,Microsoft,2017-01-26,Q1,2017,2.5346563856096584,Neutral
24,Microsoft,2016-10-20,Q4,2016,5.7925973487896885,Positive
25,Microsoft,2016-07-19,Q3,2016,3.9106153107349795,Positive
26,Microsoft,2016-04-21,Q2,2016,-7.590026252303501,Negative
27,Microsoft,2016-01-28,Q1,2016,4.868756728542068,Positive
