,Company,date,Quarter,Year,percent change (between t-2 and t+2),Sentiment
0,Micron,2022-09-29,Q3,2022,2.2538555656586827,Neutral
1,Micron,2022-06-30,Q2,2022,-1.9529939481561802,Neutral
2,Micron,2022-03-29,Q1,2022,-0.2688754230183881,Neutral
3,Micron,2021-12-20,Q4,2021,9.251427539817328,Positive
4,Micron,2021-09-28,Q3,2021,-4.011864683293271,Negative
5,Micron,2021-06-30,Q2,2021,-3.6579416121592856,Negative
6,Micron,2021-03-31,Q1,2021,8.26884946052546,Positive
7,Micron,2021-01-07,Q1,2021,1.825008990228843,Neutral
8,Micron,2020-09-29,Q3,2020,-2.482705090843508,Neutral
9,Micron,2020-06-29,Q2,2020,1.0367921209989448,Neutral
10,Micron,2020-03-25,Q1,2020,13.673215029029913,Positive
11,Micron,2019-12-18,Q4,2019,4.004535758059592,Positive
12,Micron,2019-09-26,Q3,2019,-11.667684634310778,Negative
13,Micron,2019-06-25,Q2,2019,14.49624417667859,Positive
14,Micron,2019-03-20,Q1,2019,5.074470714242865,Positive
15,Micron,2018-12-18,Q4,2018,-8.538002327189329,Negative
16,Micron,2018-09-20,Q3,2018,-0.375017663906206,Neutral
17,Micron,2018-06-20,Q2,2018,-2.309669493336084,Neutral
18,Micron,2018-03-22,Q1,2018,-9.14146152771443,Negative
19,Micron,2017-12-19,Q4,2017,4.76414763264389,Positive
20,Micron,2017-09-26,Q3,2017,5.239816714396849,Positive
21,Micron,2017-06-29,Q2,2017,-7.959575863659046,Negative
22,Micron,2017-03-23,Q1,2017,12.695940149998648,Positive
23,Micron,2016-12-21,Q4,2016,14.299753849455929,Positive
24,Micron,2016-10-04,Q4,2016,-0.28123284868872617,Neutral
25,Micron,2016-06-30,Q2,2016,-8.314101944134539,Negative
26,Micron,2016-03-30,Q1,2016,6.262035635714465,Positive
27,Micron,2015-12-22,Q4,2015,0.835654577454583,Neutral
